/*adminhtml*/
Paymentmethods,"Zahlungsmethoden"
Filter paymentmethods on customer billing country,"Filter Sie die Zahlungsmethoden f&uuml;r die Zahlungsanschrift des Kunden"
Configure ICEPAY paymentmethods [STORE VIEW],"Konfigurieren der ICEPAY Zahlungsmethoden, dies k&ouml;nnen Sie pro Store View (Gesch&auml;fts&uuml;bersicht) tun"
SOAP webservices available,"SOAP Webservices sind verf&uuml;gbar"
SOAP was not found on this server,"SOAP wurde nicht gefunden auf diesem Server"
%s paymentmethods in database,"%s Zahlungsmethoden in Datenbank"
%s paymentmethods stored for this Store view,"%s Zahlungsmethoden gespeichert f&uuml;r diese Gesch&auml;fts&uuml;bersicht"
%s paymentmethods stored in Default settings,"%s Zahlungsmethoden bei den Standardeinstellungen gespeichert"
No active paymentmethods found,"Keine Zahlungsmethoden gefunden"
SOAP connection established,"SOAP Anschluss gemacht"
%s active paymentmethods found,"%s aktive Zahlungsmethoden gefunden"
Configure,"Einstellen"
Title,"Titel"
Settings,"Einstellungen"
Settings for,"Einstellungen f&uuml;r"
Sort order,"Reihenfolge sortieren"
Get paymentmethods,"Zahlungsmethoden abholen"
Paymentmethod,"Zahlungsmethode"
Save Config to configure,"Die &auml;nderungen speichern, um die Zahlungsmethode weiter einzustellen"
Please read the advanced manual,"<a href="http://www.icepay.com/downloads/pdf/manuals/magento/icepay-manual-magento-advanced.pdf" target="blank" class="btn-manual"></a> <a href="http://www.icepay.nl/webshop-modules/ideal-voor-magento-advanced" target="blank" class="btn-movie"></a><BR/><BR/><BR/><span class="manual-comment">Heeft u hulp nodig bij het instellen? Raadpleeg onze handleiding of installatie video.</span>"
Some payment methods allow customized descriptions on the transaction statement. If left empty the Magento Order ID is used. (Max 100 char.),"Einige Zahlungsmethoden unterst&uuml;tzen eine Beschreibung in der Transaktions&uuml;bersicht des Kunden. Falls leer, wird die Magento Bestell-ID verwendet."
Description displayed in checkout,"Beschreibung w&auml;hrend dem Abrechnen."
Save settings,"Einstellungen speichern"
Cancel,"Annullieren"
Use CTRL to activate/deactivate specific issuers,"Verwende CTRL, um spezifische Issuers an- oder auszuschalten. Mindestens 1 Issuer muss selektiert sein."
Use CTRL to select specific countries,"Verwende CTRL, um spezifische L&auml;nder auszuw&auml;hlen."

/*frontend*/
Please select an issuer,"Treffen Sie Ihre Wahl"
Please select a country,"Treffen Sie Ihre Wahl aus"
