/*headers*/
Set-up configuration,"Installation Konfiguration"
Installed modules,"Installierte Module"

/*tooltips*/
Copy the Merchant ID from your ICEPAY account.,"Kopieren Sie die Merchant ID von Ihrem ICEPAY Merchant Account"
Copy the Secret Code from your ICEPAY account.,"Kopieren Sie den Secret Code von Ihrem ICEPAY Merchant  Konto"
Copy-Paste this URL to the Success URL section of a (new) ICEPAY merchant account.,"Kopieren und f&uuml;gen Sie diese URL in das Dankesch&ouml;nseite-Feld Ihrer (neuen) ICEPAY Merchant Website ein"
Copy-Paste this URL to the Error URL section of a (new) ICEPAY merchant account.,"Kopieren und f&uuml;gen Sie diese URL in das Fehlermeldeseite-Feld Ihrer (neuen) ICEPAY Merchant Website ein"
Copy-Paste this URL to the Postback URL section of a (new) ICEPAY merchant account.,"Kopieren und f&uuml;gen Sie diese URL in das Postbackseite-Feld Ihrer (neuen) ICEPAY Merchant Website ein"

/*labels*/
Merchant ID,"Merchant ID"
Secret Code,"Secret Code"
URL for Success,"Dankesch&ouml;nseite"
URL for Error,"Fehlermeldeseite"
URL for Postback/Notify,"Postback URL"
Auto invoice,"Automatische Fakturierung"
Description on transaction statement of customer,"Beschreibung in der Transaktions&uuml;bersicht des Kunden"
Please read the core manual,"<a href=""http://www.icepay.com/downloads/pdf/manuals/magento/icepay-manual-magento-basic.pdf"" target=""blank"" class=""btn-manual""></a> <a href=""http://www.icepay.nl/webshop-modules/ideal-voor-magento-basic"" target=""blank"" class=""btn-movie""></a><BR/><BR/><BR/><span class=""manual-comment"">Ben&ouml;tigen Sie Hilfe beim Einstellen? Ziehen Sie unsere Anleitung oder das Installationsvideo zu Rate.</span>"

/*comments*/
Step 1.,"Schritt 1."
Step 2.,"Schritt 2."
This configuration section is for implementing ICEPAY, please do not change these settings after saving.,"This configuration section is for implementing your <a href=""https://www.icepay.com/NL/Login?origin=magento_admin"" target=""blank"">ICEPAY Merchant website</a>.  bitte ändern Sie diese Einstellungen nach dem Speichern nicht mehr."
Configuration Information,"Information &uuml;ber die Konfiguration"
This is an overview of installed ICEPAY modules,"Dies ist eine &uuml;bersicht der installierten ICEPAY  Module"
Have Magento create the invoice automatically when payment has been completed.,"Lassen Sie Magento die Rechnung automatisch erstellen, sobald bezahlt wurde."

/*notifications*/
Merchant ID is properly configured,"Merchant ID ist gut eingestellt"
Merchant ID not set for this storeview,"Merchant ID ist nicht eingestellt in dieser Geschäfts&uuml;bersicht"
Merchant ID does not contain 5 digits,"Merchant ID enthält nicht die erforderlichen 5 Zahlen"
Merchant ID is not numeric,"Merchant ID ist keine Zahl"
SecretCode is properly configured,"Secret Code ist nicht gut eingestellt"
SecretCode not set for this storeview,"Secret Code ist nicht eingestellt in dieser Geschäfts&uuml;bersicht"
SecretCode does not contain 40 characters,"Secret Code enthält nicht die erforderlichen 40 Zeichen"

/*statuscodes*/
Awaiting payment,"In Erwartung der Zahlung"
Payment received,"Zahlung erhalten"
Payment error,"Fehler bei Zahlung"
Payment refund request,"Erstattungsanfrage"
Payment chargeback request,"R&uuml;cklastschriftanfrage"
;;
/*statement*/;;
icepay_about_line1,"ICEPAY ist ein niederländischer Payment Service Provider, der Online-Zahlungen f&uuml;r Dritte versorgt. Wenn Sie als Konsument eine Zahlung an den Eigent&uuml;mer dieses Webshops (ein Kunde von ICEPAY) tätigen, geht die Zahlung erst an ICEPAY (oder Stiftung Escrow ICEPAY) und ICEPAY sorgt daf&uuml;r, dass Ihre Transaktion an den Eigent&uuml;mer des Webshops ausgezahlt wird."
icepay_about_line2,"ICEPAY ist also ein Zwischenpartei und hat keinen Einfluss auf die Lieferung der von Ihnen bestellten Produkte oder Dienstleistungen. Sollten Sie Fragen zur Lieferung/Stornierung/R&uuml;ckzahlung Ihrer Bestellung haben, empfehlen wir Ihnen, Kontakt mit dem Webshop aufzunehmen."
icepay_about_line3,"Ihre Zahlung wird auf verschiedene Arten durch ICEPAY gesichert, weil:"
icepay_about_currence,"ICEPAY &uuml;ber eine iDEAL Zertifizierung von <a href='http://www.currence.nl/nl-NL/OverOnzeProducten/LicentieEnCertificaathouders/Pages/iDEAL.aspx' target='_blank'>Currence</a>(Eigent&uuml;mer iDEAL) verf&uuml;gt. ICEPAY erf&uuml;llt damit die aufgestellten Anforderungen von Currence u.a. auf dem Gebiet von Technik, Sicherheit und Zuverlässigkeit."
icepay_about_thawte,"ICEPAY beschikt over de Thawte SSL certificering . Zo verkrijgt ICEPAY het hoogste niveau van authentificatie bij de afhandeling van een betaling. Dit betekent een gegarandeerd veilige betaalomgeving"
icepay_about_thuiswinkel,"ICEPAY business partner van Thuiswinkel. org is. Dit verzekert u ervan dat  ICEPAY strikte regels op gebied van informatieplicht, privacy, herroepingrecht en geschillenbeslechting naleeft."
icepay_about_link,"<a href='http://www.icepay.com' target='_blank'>Besuchen Sie die ICEPAY Webseite</a>""";;

/*frontend*/
Redirecting...,"Einen Moment Geduld bitte. Sie werden weitergeleitet..."

/* postback */
Status of order changed,"Der Status Ihrer Bestellung wurde geändert"
Customer returned with status: %s,"Kunde ist zur&uuml;ckgekehrt mit dem Status:  %s"
The payment provider has returned the following error message: %s,"Der Zahlungsprovider hat die folgende Fehlermeldung abgegeben:  %s"
