/*adminhtml*/
Paymentmethods,"M&euml;todos de pago"
Filter paymentmethods on customer billing country,"Filtre los m&euml;todos de pago  según la direcci&ouml;n de pago del cliente"
Configure ICEPAY paymentmethods [STORE VIEW],"Configure los m&euml;todos de pago ICEPAY. Esto lo puede hacer a trav&euml;s de Store View (vista de tienda)"
SOAP webservices available,"SOAP webservices est&auml;n disponibles"
SOAP was not found on this server,"No se encontr&ouml; SOAP en este servidor"
%s paymentmethods in database,"%s m&euml;todos de pago en la base de datos"
%s paymentmethods stored for this Store view,"%s m&euml;todos de pago almacenados para esta vista de tienda"
%s paymentmethods stored in Default settings,"%s m&euml;todos de pago almacenados en la configuraci&ouml;n est&auml;ndar"
No active paymentmethods found,"No se han encontrado m&euml;todos de pago"
SOAP connection established,"Conexi&ouml;n SOAP establecida"
%s active paymentmethods found,"Se han encontrado %s m&euml;todos de pago activos"
Configure,"Configurar"
Title,"T&iuml;tulo"
Settings,"Configuraci&ouml;n"
Settings for,"Configuraci&ouml;n para"
Sort order,"Clasificar orden"
Get paymentmethods,"Recuperar los m&euml;todos de pago"
Paymentmethod,"M&euml;todo de pago"
Save Config to configure,"Guardar las modificaciones para seguir con la configuraci&ouml;n del m&euml;todo de pago"
Please read the advanced manual,"<a href='http://www.icepay.com/downloads/pdf/manuals/magento/icepay-manual-magento-advanced.pdf' target="blank" class="btn-manual"></a> <a href="http://www.icepay.nl/webshop-modules/ideal-voor-magento-advanced" target="blank" class="btn-movie"></a><BR/><BR/><BR/><span class="manual-comment">Necesita ayuda durante la configuraci&ouml;n? Consulte nuestro manual o el video de instalaci&ouml;n.</span>
Some payment methods allow customized descriptions on the transaction statement. If left empty the Magento Order ID is used. (Max 100 char.),"Algunos m&euml;todos de pago permiten una descripci&ouml;n en el estado de transacciones del cliente Si se deja vac&iuml;o, se utilizar&auml; el ID del pedido Magento."
Description displayed in checkout,"Descripci&ouml;n durante el proceso de pago."
Save settings,"Guardar configuraci&ouml;n"
Cancel,"Cancelar"
Use CTRL to activate/deactivate specific issuers,"Utilice CTRL para activar o desactivar issuers espec&iuml;ficos. Se ha de seleccionar al menos 1 issuer."
Use CTRL to select specific countries,"Utilice CTRL para seleccionar pa&iuml;ses espec&iuml;ficos."

/*frontend*/
Please select an issuer,"Seleccione"
Please select a country,"Seleccione entre"
