/*adminhtml*/
Paymentmethods,"Modes de paiement"
Filter paymentmethods on customer billing country,"Filtrer les modes de paiement d&apos;apr&egrave;s l&apos;adresse de paiement du client"
Configure ICEPAY paymentmethods [STORE VIEW],"Configurer les modes de paiement ICEPAY en utilisant la fonction Store View (affichage de magasins)"
SOAP webservices available,"Les SOAP webservices sont disponibles"
SOAP was not found on this server,"SOAP n&apos;a pas &eacute;t&eacute; trouv&eacute; sur ce serveur"
%s paymentmethods in database,"%s modes de paiement dans la base de donn&eacute;es"
%s paymentmethods stored for this Store view,"%s modes de paiement pour cet affichage de magasin"
%s paymentmethods stored in Default settings,"%s modes de paiement sauvegard&eacute;s dans les param&egrave;tres par d&eacute;faut"
No active paymentmethods found,"Aucun mode de paiement actif n&apos;a &eacute;t&eacute; trouv&eacute;."
SOAP connection established,"Connexion SOAP &eacute;tablie"
%s active paymentmethods found,"%s modes de paiement actifs trouv&eacute;s"
Configure,"Configuration"
Title,"Titre"
Settings,"Param&egrave;tres"
Settings for,"Param&egrave;tres pour"
Sort order,"Trier l&apos;ordre"
Get paymentmethods,"Obtenir les modes de paiement"
Paymentmethod,"Mode de paiement"
Save Config to configure,"Sauvegarder la configuration pour param&eacute;trer le mode de paiement"
Please read the advanced manual,"<a href='http://www.icepay.com/downloads/pdf/manuals/magento/icepay-manual-magento-advanced.pdf' target="blank" class="btn-manual"></a> <a href="http://www.icepay.nl/webshop-modules/ideal-voor-magento-advanced" target="blank" class="btn-movie"></a><BR/><BR/><BR/><span class="manual-comment">Besoin d&apos;aide pour la configuration ? Consultez notre mode d&apos;emploi ou visionnez la vid&eacute;o d&apos;installation.</span>
Some payment methods allow customized descriptions on the transaction statement. If left empty the Magento Order ID is used. (Max 100 char.),"Certains modes de paiement autorisent une description d&eacute;taill&eacute;e dans la liste de transactions du client. Si le champ est laiss&eacute; vierge, l&apos;ID Commande Magento sera utilis&eacute;e."
Description displayed in checkout,"Description pendant le paiement."
Save settings,"Sauvegarder les param&egrave;tres"
Cancel,"Annuler"
Use CTRL to activate/deactivate specific issuers,"Taper CTRL pour activer ou d&eacute;sactiver les issuers sp&eacute;cifiques. S&eacute;lectionner au moins 1 issuer."
Use CTRL to select specific countries,"Taper CTRL pour s&eacute;lectionner des pays sp&eacute;cifiques."

/*frontend*/
Please select an issuer,"S&eacute;lectionnez un utilisateur"
Please select a country,"S&eacute;lectionnez un pays"
