/*headers*/
Set-up configuration,"Configuration de l&apos;installation"
Installed modules,"Modules install&eacute;s"

/*tooltips*/
Copy the Merchant ID from your ICEPAY account.,"Copiez le Merchant ID de votre ICEPAY merchant account"
Copy the Secret Code from your ICEPAY account.,"Copiez le Secret Code de votre ICEPAY merchant account"
Copy-Paste this URL to the Success URL section of a (new) ICEPAY merchant account.,"Copiez et collez cette URL vers le champ de la page Remerciements de votre (nouveau) ICEPAY merchant website"
Copy-Paste this URL to the Error URL section of a (new) ICEPAY merchant account.,"Copiez et collez cette URL vers le champ de la page Message d&apos;erreur de votre (nouveau) ICEPAY merchant website"
Copy-Paste this URL to the Postback URL section of a (new) ICEPAY merchant account.,"Copiez et collez cette URL vers le champ de la page Postback (notification) de votre (nouveau) ICEPAY merchant website"

/*labels*/
Merchant ID,"Merchant ID"
Secret Code,"Secret Code"
URL for Success,"Page Remerciements"
URL for Error,"Page Message d&apos;erreur"
URL for Postback/Notify,"URL de Postback"
Auto invoice,"Facturation automatique"
Description on transaction statement of customer,"Description sur le r&eacute;capitulatif de la transaction du client"
Please read the core manual,"<a href='http://www.icepay.com/downloads/pdf/manuals/magento/icepay-manual-magento-basic.pdf' target="blank" class="btn-manual"></a> <a href="http://www.icepay.nl/webshop-modules/ideal-voor-magento-basic" target="blank" class="btn-movie"></a><BR/><BR/><BR/><span class="manual-comment">Besoin d&apos;aide pour la configuration ? Consultez notre mode d&apos;emploi ou visionnez la vid&eacute;o d&apos;installation.</span>

/*comments*/
Step 1.,"&eacute;tape 1."
Step 2.,"&eacute;tape 2."
This configuration section is for implementing ICEPAY, please do not change these settings after saving.,"This configuration section is for implementing your <a href="https://www.icepay.com/NL/Login?origin=magento_admin" target="blank">ICEPAY Merchant website</a>.   Veuillez ne pas modifier ces param&egrave;tres apr&egrave;s la sauvegarde."
Configuration Information,"Informations concernant la configuration"
This is an overview of installed ICEPAY modules,"Voici un r&eacute;capitulatif des modules ICEPAY install&eacute;s"
Have Magento create the invoice automatically when payment has been completed.,"Laisser Magento g&eacute;n&eacute;rer automatiquement la facture d&egrave;s que le paiement a &eacute;t&eacute; transf&eacute;r&eacute;."

/*notifications*/
Merchant ID is properly configured,"Merchant ID est correctement configur&eacute;"
Merchant ID not set for this storeview,"Merchant ID n&apos;est pas r&eacute;gl&eacute; pour cet affichage de magasin"
Merchant ID does not contain 5 digits,"Merchant ID ne contient pas 5 chiffres"
Merchant ID is not numeric,"Merchant ID ne correspond pas à un nombre"
SecretCode is properly configured,"Secret Code est correctement configur&eacute;"
SecretCode not set for this storeview,"Secret Code n&apos;est pas r&eacute;gl&eacute; pour cet affichage de magasin"
SecretCode does not contain 40 characters,"Secret Code ne contient pas les 40 caract&egrave;res exig&eacute;s"

/*statuscodes*/
Awaiting payment,"En attente de paiement"
Payment received,"Paiement r&eacute;ceptionn&eacute;"
Payment error,"Erreur lors du paiement"
Payment refund request,"Demande de remboursement de paiement"
Payment chargeback request,"Demande de r&eacute;trofacturation"

/*statement*/
icepay_about_line1,"ICEPAY est un fournisseur n&eacute;erlandais de services de paiement qui assure les paiements en ligne pour des tiers. Lorsqu&apos;un consommateur proc&egrave;de au paiement au propri&eacute;taire de cette boutique en ligne (un client d&apos;ICEPAY), le paiement est tout d&apos;abord transf&eacute;r&eacute; à ICEPAY (ou la soci&eacute;t&eacute; Escrow ICEPAY) et ICEPAY se charge du paiement de votre transaction au propri&eacute;taire de la boutique en ligne."
icepay_about_line2,"ICEPAY est donc un interm&eacute;diaire et n&apos;intervient donc pas dans la livraison des produits ou services que vous avez command&eacute;s. En cas de questions concernant la livraison/l&apos;annulation/le remboursement de votre commande, nous vous recommandons de contacter la boutique en ligne concern&eacute;e."
icepay_about_line3,"Votre paiement est s&eacute;curis&eacute; de diff&eacute;rentes mani&egrave;res par ICEPAY, car :"
icepay_about_currence,"ICEPAY poss&egrave;de une certification iDEAL attribu&eacute;e par<a href=&acute;http://www.currence.nl/nl-NL/OverOnzeProducten/LicentieEnCertificaathouders/Pages/iDEAL.aspx&acute; target=&acute;_blank&acute;>Currence</a>(propri&eacute;taire d&apos;iDEAL). ICEPAY satisfait ainsi aux exigences impos&eacute;es par Currence entre autres dans le domaine de la technologie, de la s&eacute;curit&eacute; et de la fiabilit&eacute;.";"
icepay_about_thawte","ICEPAY beschikt over de Thawte SSL certificering . Zo verkrijgt ICEPAY het hoogste niveau van authentificatie bij de afhandeling van een betaling. Dit betekent een gegarandeerd veilige betaalomgeving";"
icepay_about_thuiswinkel","ICEPAY business partner van Thuiswinkel. org is. Dit verzekert u ervan dat  ICEPAY strikte regels op gebied van informatieplicht, privacy, herroepingrecht en geschillenbeslechting naleeft."
icepay_about_link,"<a href=&acute;http://www.icepay.com&acute; target=&acute;_blank&acute;>Visitez le site Web ICEPAY</a>"

/*frontend*/
Redirecting...,"Veuillez patienter, vous allez être redirig&eacute;..."

/* postback */
Status of order changed,"Le statut de la commande a &eacute;t&eacute; modifi&eacute;"
Customer returned with status: %s,"Retour du client avec le statut :  %s"
The payment provider has returned the following error message: %s,"Le fournisseur de paiement a publi&eacute; le message d&apos;erreur suivant :  %s"
