/*adminhtml*/
Paymentmethods,"Metodi di pagamento"
Filter paymentmethods on customer billing country,"Filtri i metodi di pagamento sull'indirizzo di pagamento del cliente"
Configure ICEPAY paymentmethods [STORE VIEW],"Configuri i metodi di pagamento ICEPAY, pu&ograve; farlo con Store View (panoramica del negozio)"
SOAP webservices available,"I webservice SOAP sono disponibili"
SOAP was not found on this server,"SOAP non &Egrave; stato trovato su questo server"
%s paymentmethods in database,"%s metodi di pagamento nel database"
%s paymentmethods stored for this Store view,"%s metodi di pagamento salvati per questa panoramica del negozio"
%s paymentmethods stored in Default settings,"%s metodi di pagamento salvati nelle impostazioni predefinite"
No active paymentmethods found,"Non &Egrave; stato trovato alcun metodo di pagamento"
SOAP connection established,"Connessione con SOAP effettuata"
%s active paymentmethods found,"Trovati %s metodi di pagamento attivi"
Configure,"Configura"
Title,"Titolo"
Settings,"Impostazioni"
Settings for,"Impostazioni per"
Sort order,"Seleziona la sequenza"
Get paymentmethods,"Ritiri i metodi di pagamento"
Paymentmethod,"Metodo di pagamento"
Save Config to configure,"Salvi le modifiche per configurare ulteriormente il metodo di pagamento"
Please read the advanced manual,"<a href='http://www.icepay.com/downloads/pdf/manuals/magento/icepay-manual-magento-advanced.pdf' target="blank" class="btn-manual"></a> <a href="http://www.icepay.nl/webshop-modules/ideal-voor-magento-advanced" target="blank" class="btn-movie"></a><BR/><BR/><BR/><span class="manual-comment">Ha bisogno di aiuto per l'impostazione? Consulti il nostro manuale o il video di installazione.</span>
Some payment methods allow customized descriptions on the transaction statement. If left empty the Magento Order ID is used. (Max 100 char.),"Alcuni metodi di pagamento  permettono l'utilizzo di una descrizione  nel resoconto della transazione del cliente. Se lasciato vuoto, verr&agrave; utilizzato l'ID dell'Ordinazione di Magento."
Description displayed in checkout,"Descrizione visualizzata al momento del saldo "
Save settings,"Salva le impostazioni"
Cancel,"Annulla"
Use CTRL to activate/deactivate specific issuers,"Utilizzi CTRL per attivare/disattivare issuer specifici. &Egrave; necessario selezionare almeno 1 issuer."
Use CTRL to select specific countries,"Utilizzi CTRL per selezionare paesi specifici."

/*frontend*/
Please select an issuer,"Faccia la sua scelta"
Please select a country,"Faccia la sua scelta tra"
